Go.	Geh.
I already know.	Das weiß ich schon.
I already know.	Das ist mir bereits bekannt.
I am Hungarian.	Ich bin Ungar.
I am Hungarian.	Ich bin Ungarin.
I am a redhead.	Ich bin ein Rotschopf.
I am a shy boy.	Ich bin ein schüchterner Junge.
I am a student.	Ich bin ein Student.
I am a student.	Ich bin Student.
I am a student.	Ich bin Studentin.
I am a teacher.	Ich bin Lehrer.
I am a teacher.	Ich bin Lehrerin.
I am an artist.	Ich bin ein Künstler.
I am an artist.	Ich bin Künstler.
I am in London.	Ich bin in London.
I am in London.	Ich befinde mich in London.
I am off today.	Ich habe heute frei.
I am too short.	Ich bin zu klein.
I am very tall.	Ich bin sehr groß.
I ate a Danish.	Ich habe ein Teilchen gegessen.
I ate a banana.	Ich habe eine Banane gegessen.
I ate an apple.	Ich habe einen Apfel gegessen.
I ate too much.	Ich habe zu viel gegessen.
I became angry.	Ich wurde wütend.
I became angry.	Ich wurde böse.
I began to cry.	Ich fing an zu weinen.
I believed Tom.	Ich habe Tom geglaubt.
I believed you.	Ich habe dir geglaubt.
I believed you.	Ich glaubte Ihnen.
I believed you.	Ich habe Ihnen geglaubt.
I bet it works.	Ich wette, es funktioniert.
I bet it works.	Ich wette, es klappt.
I betrayed you.	Ich habe dich verraten.
I betrayed you.	Ich habe Sie verraten.
I betrayed you.	Ich verriet Sie.
I bike to work.	Ich fahre mit dem Fahrrad zur Arbeit.
I bike to work.	Ich fahre mit dem Rad zur Arbeit.
I blame myself.	Ich mache mich selbst dafür verantwortlich.
I borrow money.	Ich leihe mir Geld.
I bought a car.	Ich habe ein Auto gekauft.
I bought a car.	Ich habe mir ein Auto gekauft.
I bought a hat.	Ich kaufte einen Hut.
I broke my arm.	Ich brach mir den Arm.
I broke my leg.	Ich habe mir das Bein gebrochen.
I came for Tom.	Ich kam wegen Tom.
I came for Tom.	Ich bin für Tom gekommen.
I came for Tom.	Ich bin statt Tom gekommen.
I came for you.	Ich bin wegen dir gekommen.
I came for you.	Ich bin deinetwegen gekommen.
I can beat Tom.	Ich kann Tom schlagen.
I can fix that.	Ich kann das reparieren.
I can fix this.	Ich kann das reparieren.
I can fix this.	Ich kann das beheben.
I can hear you.	Ich kann dich hören.
I can prove it.	Ich kann es beweisen.
I can't get in.	Ich komme nicht hinein.
I can't get up.	Ich kann nicht aufstehen.
I can't see it.	Ich kann ihn nicht sehen.
I can't see it.	Ich kann sie nicht sehen.
I can't use it.	Ich habe keine Verwendung dafür.
I can't use it.	Ich kann es nicht gebrauchen.
I changed that.	Ich ändere das.
I cook for Tom.	Ich koche für Tom.
I count on Tom.	Ich zähle auf Tom.
I deserve more.	Ich habe mehr verdient.
I despised Tom.	Ich habe Tom verachtet.
I did warn you.	Ich habe dich ja gewarnt.
I did warn you.	Ich habe euch ja gewarnt.
I did warn you.	Ich habe Sie ja gewarnt.
I didn't cheat.	Ich habe nicht geschummelt.
I didn't drive.	Ich bin nicht gefahren.
I didn't flunk.	Ich bin nicht durchgefallen.
I didn't laugh.	Ich habe nicht gelacht.
I didn't study.	Ich habe nicht studiert.
I dislike eggs.	Ich mag keine Eier.
I do that, too.	Das mache ich auch.
I don't gamble.	Ich treibe kein Glücksspiel.
I don't get it.	Ich verstehe es nicht.
I don't get it.	Ich verstehe das nicht.
I don't get it.	Das kapier ich nicht.
I don't gossip.	Ich tratsche nicht.
I don't see it.	Ich sehe es nicht.
I drank a beer.	Ich habe ein Bier getrunken.
I drank coffee.	Ich trank Kaffee.
I drank coffee.	Ich habe Kaffee getrunken.
I drink coffee.	Ich trinke Kaffee.
I eat tomatoes.	Ich esse Tomaten.
I enjoyed that.	Das hat mir Spaß gemacht.
I fear nothing.	Ich habe vor nichts Angst.
I fear nothing.	Ich fürchte mich vor nichts.
I fear nothing.	Ich fürchte nichts.
I feel cheated.	Ich fühle mich übers Ohr gehauen.
I feel seasick.	Ich bin seekrank.
I feel so cold.	Mir ist so kalt.
I feel so lost.	Ich fühle mich so verloren.
I fell in love.	Ich habe mich verliebt.
I followed him.	Ich folgte ihm.
I followed you.	Ich bin dir gefolgt.
I followed you.	Ich bin euch gefolgt.
I followed you.	Ich bin Ihnen gefolgt.
I gave my word.	Ich habe mein Wort gegeben.
I get off here.	Ich steige hier aus.
I get up early.	Ich stehe früh auf.
I get up early.	Ich bin Frühaufsteher.
I give my word.	Ich gebe mein Wort.
I go to church.	Ich gehe zur Kirche.
I go to school.	Ich gehe in die Schule.
I go to school.	Ich gehe zur Schule.
I got divorced.	Ich bin geschieden.
I got up early.	Ich bin früh aufgestanden.
I got you this.	Das habe ich dir mitgebracht.
I guarantee it.	Ich garantiere es.
I had a stroke.	Ich hatte einen Schlaganfall.
I had fun here.	Ich hatte Spaß hier.
I had jeans on.	Ich trug eine Nietenhose.
I had jeans on.	Ich hatte eine Nietenhose an.
I had no money.	Ich hatte kein Geld.
I had some fun.	Ich hatte Spaß.
I had to agree.	Ich musste zustimmen.
I had to leave.	Ich musste gehen.
I had to leave.	Ich musste weg.
I hailed a cab.	Ich habe ein Taxi gerufen.
I hailed a cab.	Ich habe ein Taxi herbeigewinkt.
I hailed a cab.	Ich habe ein Taxi herbeigewunken.
I hate Mondays.	Ich hasse den Montag.
I hate Mondays.	Ich kann Montage nicht ausstehen.
I hate Tom now.	Jetzt hasse ich Tom.
I hate dancing.	Ich hasse es zu tanzen.
I hate driving.	Fahren ist absolut nicht mein Ding.
I hate driving.	Ich kann Fahren nicht ab.
I hate her now.	Ich hasse sie jetzt.
I hate insects.	Ich hasse Insekten.
I hate ironing.	Ich hasse Bügeln.
I hate karaoke.	Ich hasse Karaoke.
I hate lawyers.	Ich hasse Juristen.
I hate lawyers.	Ich kann Juristen nicht ausstehen.
I hate my life.	Ich hasse mein Leben.
I hate parties.	Ich hasse Partys.
I hate riddles.	Ich hasse Rätsel.
I hate spiders.	Ich hasse Spinnen.
I hate spinach.	Ich hasse Spinat.
I hate to lose.	Ich hasse es zu verlieren.
I hate working.	Ich hasse arbeiten.
I hate you all.	Ich hasse euch alle.
I hated school.	Ich habe die Schule gehasst.
I have 13 cats.	Ich habe dreizehn Katzen.
I have a beard.	Ich habe einen Bart.
I have a dream.	Ich habe einen Traum.
I have a fever.	Ich habe Fieber.
I have a horse.	Ich habe ein Pferd.
I have a hunch.	Ich habe da so eine Ahnung.
I have a knife.	Ich habe ein Messer.
I have a radio.	Ich habe ein Radio.
I have a table.	Ich habe einen Tisch.
I have a truck.	Ich habe einen Pick-up.
I have a truck.	Ich habe einen Laster.
I have a truck.	Ich habe einen Lastwagen.
I have a truck.	Ich habe einen LKW.
I have a truck.	Ich habe einen Camion.
I have amnesia.	Ich habe mein Gedächtnis verloren.
I have amnesia.	Ich habe Gedächtnisverlust.
I have an idea.	Ich habe eine Idee.
I have friends.	Ich habe Freunde.
I have no clue.	Ich habe keine Ahnung.
I have no home.	Ich habe kein Haus.
I have no idea.	Ich habe keine Ahnung.
I have no kids.	Ich habe keine Kinder.
I have no wife.	Ich habe keine Ehefrau.
I have one kid.	Ich habe ein Kind.
I have sisters.	Ich habe Schwestern.
I have the key.	Ich habe den Schlüssel.
I have to help.	Ich muss helfen.
I have to hide.	Ich muss mich verstecken.
I have to know.	Ich muss das wissen.
I have to rest.	Ich muss mich ausruhen.
I have to stop.	Ich muss aufhören.
I have to wait.	Ich muss warten.
I have to work.	Ich muss arbeiten.
I hope so, too.	Das hoffe ich auch.
I hope you die.	Ich hoffe, du stirbst.
I hope you win.	Ich hoffe, dass du gewinnen wirst.
I hurried home.	Ich eilte nach Hause.
I hurried home.	Ich ging schnell heim.
I hurt my foot.	Ich habe mich am Fuß verletzt.
I just arrived.	Ich bin gerade angekommen.
I just gave up.	Ich habe einfach aufgegeben.
I just guessed.	Ich habe nur geraten.
I just met Tom.	Ich habe Tom gerade kennengelernt.
I just met Tom.	Ich habe Tom gerade getroffen.
I just met him.	Ich habe ihn gerade getroffen.
I just saw Tom.	Ich habe gerade Tom gesehen.
I keep a diary.	Ich führe Tagebuch.
I kept my word.	Ich hielt mein Wort.
I kept my word.	Ich habe mein Wort gehalten.
I kept running.	Ich lief weiter.
I kept the dog.	Ich habe den Hund behalten.
I know it well.	Ich weiß, wie es ist.
I know the boy.	Ich kenne den Jungen.
I know the way.	Ich kenne den Weg.
I know who won.	Ich weiß, wer gewonnen hat.
I learn French.	Ich lerne Französisch.
I left my wife.	Ich habe meine Frau verlassen.
I let Tom live.	Ich ließ Tom leben.
I let Tom live.	Ich lasse Tom leben.
I let you down.	Ich habe dich enttäuscht.
I let you down.	Ich habe euch enttäuscht.
I let you down.	Ich habe Sie enttäuscht.
I like English.	Ich mag Englisch.
I like castles.	Ich mag Schlösser.
I like cookies.	Ich esse gerne Kekse.
I like drawing.	Ich zeichne gern.
I like fishing.	Ich angle gern.
I like fishing.	Ich fische gern.
I like it here.	Mir gefällt es hier.
I like it, too.	Ich mag es auch.
I like ketchup.	Ich mag Ketchup.
I like lettuce.	Ich mag Salat.
I like lettuce.	Salat mag ich.
I like mahjong.	Ich mag Mahjong.
I like mahjong.	Ich liebe Mahjongg.
I like my bike.	Mein Fahrrad hab ich ins Herz geschlossen.
I like my life.	Ich mag mein Leben.
I like my name.	Mir gefällt mein Name.
I like noodles.	Ich mag Nudeln.
I like oranges.	Ich mag Orangen.
I like oranges.	Ich mag Apfelsinen.
I like oysters.	Ich mag Austern.
I like reading.	Ich lese gerne.
I like running.	Ich gehe gerne Joggen.
I like running.	Ich laufe gern.
I like sashimi.	Ich mag Saschimi.
I like seafood.	Ich mag Meeresfrüchte.
I like singing.	Ich singe gerne.
I like singing.	Ich singe gern.
I like spinach.	Ich mag Spinat.
I like stories.	Ich mag Geschichten.
I like talking.	Ich unterhalte mich gern.
I like the dog.	Ich mag den Hund.
I like the sun.	Ich mag die Sonne.
I like to cook.	Ich koche gern.
I like to fish.	Ich angel gern.
I like to hunt.	Ich gehe gern jagen.
I like to read.	Ich lese gerne.
I like to sing.	Ich singe gerne.
I like to sing.	Ich singe gern.
I like to swim.	Ich schwimme gern.
I like to talk.	Ich rede gern.
I like to walk.	Ich gehe gerne laufen.
I like to walk.	Ich gehe gerne spazieren.
I like to walk.	Ich gehe gerne zu Fuß.
I like to work.	Ich arbeite gerne.
I like turtles.	Ich mag Schildkröten.
I like walking.	Ich gehe gerne zu Fuß.
I like working.	Ich arbeite gerne.
I like writing.	Ich mag Schreiben.
I lost the bet.	Ich habe die Wette verloren.
I lost the bet.	Ich verlor die Wette.
I love Harvard.	Ich liebe Harvard.
I love almonds.	Ich liebe Mandeln.
I love animals.	Ich liebe Tiere.
I love bananas.	Ich liebe Bananen.
I love carrots.	Ich liebe Karotten.
I love cooking.	Ich liebe Kochen.
I love dessert.	Ich liebe Nachtisch.
I love driving.	Ich fahre für mein Leben gern.
I love flowers.	Ich liebe Blumen.
I love his son.	Ich liebe seinen Sohn.
I love it here.	Ich liebe es hier.
I love lasagna.	Ich liebe Lasagne.
I love lizards.	Ich liebe Eidechsen.
I love my city.	Ich liebe meine Stadt.
I love my home.	Ich liebe mein Haus.
I love my home.	Ich liebe mein Zuhause.
I love my iPod.	Ich liebe meinen iPod.
I love my life.	Ich liebe mein Leben.
I love my wife.	Ich liebe meine Frau.
I love parties.	Ich liebe Partys.
I love puzzles.	Ich liebe Puzzles.
I love reading.	Ich liebe das Lesen.
I love sunsets.	Ich liebe Sonnenuntergänge.
I love the sea.	Ich liebe das Meer.
I love to cook.	Ich koche sehr gerne.
I love to read.	Ich lese sehr gern.
I love to swim.	Ich schwimme sehr gern.
I love winning.	Ich liebe es zu gewinnen.
I love you all.	Ich liebe euch alle.
I loved Boston.	Ich liebte Boston.
I loved school.	Ich liebte die Schule.
I made Tom mad.	Ich habe Tom wütend gemacht.
I made cookies.	Ich habe Kekse gebacken.
I made her cry.	Ich brachte sie zum Weinen.
I made him cry.	Ich brachte ihn zum Weinen.
I made that up.	Ich habe das erfunden.
I may be wrong.	Ich könnte mich irren.
I may know Tom.	Ich könnte Tom kennen.
I may know Tom.	Tom könnte mir bekannt sein.
I may not come.	Ich komme vielleicht nicht.
I may not come.	Ich darf nicht kommen.
I met Tom here.	Ich traf Tom hier.
I met a friend.	Ich habe einen Freund getroffen.
I met him once.	Ich habe ihn einmal getroffen.
I miss college.	Ich vermisse die Universität.
I miss you all.	Ich vermisse euch alle.
I miss you all.	Ihr fehlt mir alle.
I must buy one.	Ich muss einen kaufen.
I must buy one.	Ich muss eine kaufen.
I must buy one.	Ich muss eins kaufen.
I must decline.	Ich muss ablehnen.
I must find it.	Ich muss es finden.
I need Tom now.	Ich brauche Tom jetzt.
I need Tom now.	Ich brauche jetzt Tom.
I need a broom.	Ich brauche einen Besen.
I need a favor.	Ich muss um einen Gefallen bitten.
I need a hobby.	Ich brauche ein Hobby.
I need a medic.	Ich brauche einen Arzt.
I need a plate.	Ich brauche einen Teller.
I need a raise.	Ich brauche eine Gehaltserhöhung.
I need a smoke.	Ich brauche eine Zigarette.
I need a stamp.	Ich brauche eine Briefmarke.
I need a towel.	Ich brauche ein Handtuch.
I need answers.	Ich benötige Antworten.
I need friends.	Ich brauche Freunde.
I need privacy.	Ich brauche Privatsphäre.
I need support.	Ich brauche Unterstützung.
I need surgery.	Ich muss operiert werden.
I need to know.	Ich muss es wissen.
I need to stop.	Ich muss aufhören.
I need to swim.	Ich muss schwimmen.
I need to work.	Ich muss arbeiten.
I need you now.	Ich brauche dich jetzt.
I never saw it.	Ich habe sie nie gesehen.
I never saw it.	Ich sah es noch nie.
I noticed that.	Ich habe das bemerkt.
I now know why.	Jetzt weiß ich, warum.
I often hiccup.	Ich habe oft einen Schluckauf.
I often hiccup.	Ich hickse oft.
I often travel.	Ich reise oft.
I owe him $100.	Ich schulde ihm 100 $.
I own this car.	Ich besitze dieses Auto.
I own this car.	Das Auto gehört mir.
I paid in cash.	Ich bezahlte in bar.
I paid nothing.	Ich habe nichts bezahlt.
I pay Tom well.	Ich bezahle Tom gut.
I pay Tom well.	Tom bezahle ich gut.
I pay my taxes.	Ich zahle meine Steuern.
I plead guilty.	Ich bekenne mich schuldig.
I prefer black.	Mir ist Schwarz lieber.
I promised Tom.	Ich habe es Tom versprochen.
I quit smoking.	Ich habe mit dem Rauchen aufgehört.
I raise cattle.	Ich züchte Vieh.
I ran past Tom.	Ich lief an Tom vorbei.
I ran past Tom.	Ich bin an Tom vorbei gelaufen.
I ran upstairs.	Ich lief nach oben.
I rejected Tom.	Ich habe Tom einen Korb gegeben.
I remember Tom.	Ich erinnere mich an Tom.
I remember her.	Ich erinnere mich an sie.
I remember now.	Jetzt erinnere ich mich.
I rewarded Tom.	Ich belohnte Tom.
I said get out!	Ich sagte, raus!
I said get out!	Ich sagte, geh raus!
I said get out.	Ich sagte, geh raus.
I said get out.	Ich hab gesagt, macht, dass ihr rauskommt.
I said go home.	Ich sagte, geht nach Hause.
I said goodbye.	Ich verabschiedete mich.
I said not now.	Ich habe gesagt nicht jetzt.
I said nothing.	Ich sagte nichts.
I said shut up!	Ich sagte, du sollst den Mund halten!
I said stop it!	Ich sagte, hört auf!
I said take it.	Ich sagte „Nimm!“
I saw five men.	Ich sah 5 Männer.
I saw her home.	Ich habe sie nach Hause gebracht.
I saw her swim.	Ich habe sie schwimmen gesehen.
I saw it first.	Ich habe es zuerst gesehen.
I saw it on TV.	Ich hab’s im Fernsehen gesehen.
I saw somebody.	Ich sah jemanden.
I saw that one.	Ich habe einen gesehen.
I saw the cook.	Ich sah die Köchin.
I saw the cook.	Ich sah den Koch.
I saw the news.	Ich sah die Nachrichten.
I saw them all.	Ich habe sie alle gesehen.
I see the book.	Ich sehe das Buch.
I sell flowers.	Ich verkaufe Blumen.
I serve no one.	Ich diene niemandem.
I smell coffee.	Ich rieche Kaffee.
I sneeze a lot.	Ich niese oft.
I speak French.	Ich spreche Französisch.
I study French.	Ich studiere Französisch.
I study Korean.	Ich studiere Koreanisch.
I study Korean.	Ich lerne Koreanisch.
I study abroad.	Ich studiere im Ausland.
I sure am cold.	Mir ist in der Tat kalt.
I take it back.	Ich nehme es zurück.
I teach French.	Ich gebe Französischunterricht.
I teach French.	Ich unterrichte Französisch.
I think I'm OK.	Ich denke, mir geht es gut.
I thought hard.	Ich dachte gründlich nach.
I told Tom why.	Ich nannte Tom den Grund.
I took a break.	Ich machte eine Pause.
I travel a lot.	Ich reise viel.
I travel light.	Ich reise mit wenig Gepäck.
I trusted them.	Ich habe ihnen vertraut.
I turned right.	Ich bog rechts ab.
I usually walk.	Normalerweise gehe ich zu Fuß.
I walked alone.	Ich ging allein.
I want a chair.	Ich will einen Stuhl.
I want a drink.	Ich möchte etwas zu trinken.
I want a glass.	Ich hätte gern ein Glas.
I want a horse.	Ich möchte ein Pferd.
I want a puppy.	Ich will einen Hundewelpen.
I want a raise.	Ich will eine Gehaltserhöhung.
I want justice.	Ich will Gerechtigkeit.
I want popcorn.	Ich möchte Popcorn.
I want revenge.	Ich will Rache!
I want the fan.	Ich möchte den Ventilator haben.
I want to come.	Ich will kommen.
I want to help.	Ich will helfen.
I want to know.	Ich möchte es wissen.
I want to live.	Ich will leben.
I want to play.	Ich will spielen.
I want to quit.	Ich will aufhören.
I want to quit.	Ich will kündigen.
I want to sing.	Ich möchte singen.
I want to stay.	Ich will bleiben.
I want to stop.	Ich möchte aufhören.
I want to work.	Ich will arbeiten.
I was all ears.	Ich war ganz Ohr.
I was captured.	Ich wurde gefangen.
I was confused.	Ich war verwirrt.
I was confused.	Ich war durcheinander.
I was coughing.	Ich hustete.
I was dreaming.	Ich war am Träumen.
I was homesick.	Ich hatte Heimweh.
I was off duty.	Ich hatte frei.
I was on leave.	Ich war auf Urlaub.
I was outdoors.	Ich war draußen.
I was poisoned.	Ich wurde vergiftet.
I was poisoned.	Ich bin vergiftet worden.
I was sleeping.	Ich schlief.
I was so happy.	Ich war so glücklich.
I was sweating.	Ich habe geschwitzt.
I was too fast.	Ich war zu schnell.
I was tortured.	Ich wurde gefoltert.
I was upstairs.	Ich war oben.
I wasn't alone.	Ich war nicht allein.
I wasn't drunk.	Ich war nicht betrunken.
I wasn't happy.	Ich war nicht glücklich.
I wasn't hired.	Ich wurde nicht genommen.
I wasn't hired.	Ich wurde nicht angeheuert.
I wasn't lying.	Ich habe nicht gelogen.
I wasn't ready.	Ich war nicht bereit.
I wasn't there.	Ich war nicht da.
I wear glasses.	Ich bin Brillenträger.
I wear glasses.	Ich trage eine Brille.
I went fishing.	Ich bin angeln gegangen.
I will prosper.	Es wird mir gut gehen.
I will sue you.	Ich werde dich anzeigen.
I will sue you.	Ich werde dich verklagen.
I will survive.	Ich werde überleben.
I will take it.	Ich nehme es.
I won't forget.	Ich werde nicht vergessen.
I won't return.	Ich werde nicht wiederkommen.
I work at home.	Ich arbeite zu Hause.
I worked at it.	Ich habe daran gearbeitet.
I wrote to Tom.	Ich habe Tom geschrieben.
I'd be careful.	Ich wäre vorsichtig.
I'd like to go.	Ich würde gerne gehen.
I'd love to go.	Ich würde sehr gerne hingehen.
I'll bring Tom.	Ich werde Tom mitbringen.
I'll carry you.	Ich werde dich tragen.
I'll change it.	Ich werde es ändern.
I'll come back.	Ich werde zurückkommen.
I'll come down.	Ich werde runterkommen.
I'll come home.	Ich werde nach Hause kommen.
I'll come over.	Ich komme rüber.
I'll come, too.	Ich werde auch kommen.
I'll do it now.	Ich mach das jetzt.
I'll get a cab.	Ich nehme ein Taxi.
I'll get ready.	Ich mache mich fertig.
I'll get these.	Ich werde diese bekommen.
I'll get to it.	Ich werde mich drum kümmern.
I'll get to it.	Ich werde gleich dazu kommen.
I'll go by bus.	Ich werde mit dem Bus hinfahren.
I'll go by car.	Ich werde mit dem Auto fahren.
I'll go get it.	Ich werde es holen.
I'll go get it.	Ich geh und hol es.
I'll go see it.	Ich werde es mir ansehen.
I'll go to Tom.	Ich werde zu Tom gehen.
I'll handle it.	Ich werde mich drum kümmern.
I'll miss that.	Ich werde das vermissen.
I'll miss that.	Das wird mir fehlen.
I'll move soon.	Ich werde bald umziehen.
I'll pay later.	Ich werde später bezahlen.
I'll pay later.	Ich zahle später.
I'll phone you.	Ich werde dich anrufen.
I'll phone you.	Ich werde Sie anrufen.
I'll phone you.	Ich werde euch anrufen.
I'll pray hard.	Ich werde viel beten.
I'll risk that.	Ich gehe das Risiko ein.
I'll scold him.	Ich werde mit ihm schimpfen.
I'll see to it.	Ich werde mich darum kümmern.
I'll see to it.	Ich bringe das in Ordnung.
I'll shoot you.	Ich werde dich erschießen.
I'll stay here.	Ich bleibe hier.
I'll stay home.	Ich werde zuhause bleiben.
I'll take that.	Ich nehme das.
I'll teach Tom.	Ich werde Tom unterrichten.
I'll thank Tom.	Ich werde Tom danken.
I'll treat you.	Ich werde dich einladen.
I'll try again.	Ich werde es wieder versuchen.
I'll try again.	Ich versuche es noch mal.
I'll walk home.	Ich gehe zu Fuß nach Hause.
I'll watch Tom.	Ich werde Tom beobachten.
I'll work hard.	Ich werde mich anstrengen.
I'm OK with it.	Ich bin damit einverstanden.
I'm Tom's aunt.	Ich bin Toms Tante.
I'm a Canadian.	Ich bin Kanadier.
I'm a beginner.	Ich bin Anfängerin.
I'm a beginner.	Ich bin Anfänger.
I'm a bit late.	Ich bin ein bisschen spät dran.
I'm a botanist.	Ich bin Botaniker.
I'm a botanist.	Ich bin Botanikerin.
I'm a busy guy.	Ich habe viel zu tun.
I'm a busy guy.	Ich bin sehr beschäftigt.
I'm a diabetic.	Ich bin Diabetiker.
I'm a diabetic.	Ich bin Diabetikerin.
I'm a free man.	Ich bin ein freier Mann.
I'm a good boy.	Ich bin ein guter Junge.
I'm a musician.	Ich bin Musiker.
I'm a musician.	Ich bin Musikerin.
I'm a nice guy.	Ich bin ein netter Typ.
I'm a pacifist.	Ich bin Pazifist.
I'm a pacifist.	Ich bin Pazifistin.
I'm a prisoner.	Ich bin ein Strafgefangener.
I'm a prisoner.	Ich bin eine Strafgefangene.
I'm a prisoner.	Ich bin ein Gefangener.
I'm a prisoner.	Ich bin eine Gefangene.
I'm a rich man.	Ich bin ein reicher Mann.
I'm a salesman.	Ich bin Verkäufer.
I'm a salesman.	Ich bin Handelsvertreter.
I'm a salesman.	Ich bin Vertreter.
I'm a stuntman.	Ich bin Stuntman.
I'm a teenager.	Ich bin ein Teenager.
I'm a weakling.	Ich bin ein Schwächling.
I'm afraid not.	Ich fürchte nein.
I'm afraid not.	Leider nicht.
I'm against it.	Ich bin dagegen.
I'm an atheist.	Ich bin Atheist.
I'm an officer.	Ich bin ein Offizier.
I'm an officer.	Ich bin ein Polizist.
I'm an old man.	Ich bin ein alter Mann.
I'm back early.	Ich bin früh wieder zurück.
I'm behind you.	Ich bin hinter dir.
I'm being used.	Ich werde ausgenutzt.
I'm bored, too.	Ich langweile mich auch.
I'm bored, too.	Mir ist auch langweilig.
I'm busy today.	Ich bin heute beschäftigt.
I'm called Tom.	Ich heiße Tom.
I'm dead tired.	Ich bin todmüde.
I'm devastated.	Ich bin am Boden zerstört.
I'm doing fine.	Mir geht's gut.
I'm doing fine.	Mir geht es gut.
I'm doing fine.	Es geht mir gut.
I'm doing okay.	Mir geht es gut.
I'm doing well.	Es geht mir gut.
I'm downstairs.	Ich bin unten.
I'm eating now.	Ich esse gerade.
I'm famous now.	Ich bin jetzt berühmt.
I'm farsighted.	Ich bin weitsichtig.
I'm fascinated.	Ich bin fasziniert.
I'm free today.	Ich habe heute frei.
I'm free today.	Heute habe ich Zeit.
I'm getting by.	Ich komme durch.
I'm going back.	Ich gehe zurück.
I'm going bald.	Ich bekomme eine Glatze.
I'm going home.	Ich geh nach Hause.
I'm going home.	Ich bin auf dem Weg nach Hause.
I'm going home.	Ich gehe nach Hause.
I'm going, too.	Ich gehe auch.
I'm happy here.	Ich bin glücklich hier.
I'm happy, too.	Ich bin auch glücklich.
I'm having fun.	Ich hab meinen Spaß.
I'm having fun.	Ich amüsiere mich.
I'm here again.	Ich bin wieder hier.
I'm home early.	Ich bin früh zu Hause.
I'm human, too.	Auch ich bin ein Mensch.
I'm hungry now.	Ich habe jetzt Hunger.
I'm illiterate.	Ich bin Analphabet.
I'm illiterate.	Ich bin Analphabetin.
I'm in a hurry.	Ich habe es eilig.
I'm in the car.	Ich bin im Auto.
I'm in trouble.	Ich bin in Schwierigkeiten.
I'm interested.	Ich bin interessiert.
I'm just lucky.	Ich habe einfach nur Glück.
I'm mad at you.	Ich bin dir böse.
I'm mad at you.	Ich bin sauer auf dich.
I'm making tea.	Ich bereite den Tee.
I'm meditating.	Ich meditiere.
I'm meditating.	Ich meditiere gerade.
I'm never late.	Ich komme nie zu spät.
I'm no quitter.	Ich bin niemand, der sofort aufgibt.
I'm no quitter.	So leicht gebe ich nicht auf.
I'm not a baby.	Ich bin kein Baby.
I'm not a fool.	Ich bin kein Dummkopf.
I'm not a fool.	Ich bin nicht auf den Kopf gefallen.
I'm not a hero.	Ich bin kein Held.
I'm not a poet.	Ich bin kein Dichter.
I'm not a poet.	Ich bin kein Poet.
I'm not asleep.	Ich schlafe nicht.
I'm not biased.	Ich habe keine Vorurteile.
I'm not biased.	Ich bin nicht voreingenommen.
I'm not coming.	Ich komme nicht.
I'm not crying.	Ich weine nicht.
I'm not family.	Ich bin nicht von der Familie.
I'm not famous.	Ich bin nicht berühmt.
I'm not guilty.	Ich bin nicht schuldig.
I'm not hiding.	Ich verstecke mich nicht.
I'm not hungry.	Ich habe keinen Hunger.
I'm not joking.	Ich scherze nicht.
I'm not sleepy.	Ich bin nicht müde.
I'm not sleepy.	Ich bin nicht schläfrig.
I'm not stupid.	Ich bin kein Dummkopf.
I'm often here.	Ich bin oft hier.
I'm on holiday.	Ich habe Ferien.
I'm one of you.	Ich bin einer von euch.
I'm one of you.	Ich bin eine von euch.
I'm only human.	Ich bin nur ein Mensch.
I'm optimistic.	Ich bin optimistisch.
I'm optimistic.	Ich bin ein Optimist.
I'm optimistic.	Ich bin Optimist.
I'm overweight.	Ich bin übergewichtig.
I'm overweight.	Ich habe Übergewicht.
I'm overworked.	Ich bin überarbeitet.
I'm quite busy.	Ich bin ziemlich beschäftigt.
I'm quite lazy.	Ich bin ziemlich faul.
I'm quite well.	Ich fühle mich ganz gut.
I'm rather shy.	Ich bin ziemlich schüchtern.
I'm reading it.	Ich lese es.
I'm really mad.	Ich bin wirklich verrückt.
I'm really old.	Ich bin wirklich alt.
I'm so ashamed.	Ich schäme mich so!
I'm so excited.	Ich bin ja so aufgeregt!
I'm so unlucky!	Was für ein Pech ich habe!
I'm so unlucky!	Ich habe aber auch ein Pech!
I'm sorry, Tom.	Es tut mir leid, Tom.
I'm still busy.	Ich bin immer noch beschäftigt.
I'm still busy.	Ich hab immer noch zu tun.
I'm still busy.	Ich bin noch beschäftigt.
I'm successful.	Ich bin erfolgreich.
I'm taking off.	Ich gehe.
I'm taking off.	Ich fliege los.
I'm taking off.	Ich fahre los.
I'm the expert.	Ich bin der Fachmann.
I'm the expert.	Ich bin der Mann vom Fach.
I'm the expert.	Ich bin vom Fach.
I'm the oldest.	Ich bin der Älteste.
I'm the oldest.	Ich bin die Älteste.
I'm thirty now.	Ich bin jetzt 30 Jahre alt.
I'm thirty now.	Ich bin jetzt dreißig.
I'm undressing.	Ich ziehe mich aus.
I'm unemployed.	Ich bin arbeitslos.
I'm untalented.	Ich bin untalentiert.
I'm untalented.	Ich habe kein Talent.
I'm using this.	Ich verwende das.
I'm using this.	Ich benutze das.
I'm very happy.	Ich bin sehr glücklich.
I'm very short.	Ich bin sehr klein.
I'm very sorry.	Es tut mir sehr leid.
I'm very tired.	Ich bin sehr müde.
I'm very upset.	Ich bin sehr verärgert.
I'm very upset.	Ich bin sehr aufgebracht.
